Clt,Equipe,MJ,V,N,D,BM,BE,DB,Pts,xG,xGA,xGD,xGD/90,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Real Madrid,13,9,0,4,29,14,+15,27,21.7,20.8,+0.8,+0.06,48111,Karim Benzema - 15,Thibaut Courtois,
2,Liverpool,13,10,1,2,30,14,+16,31,27.3,13.1,+14.2,+1.09,64118,Mohamed Salah - 8,Alisson,
SF,Manchester City,12,7,2,3,29,16,+13,23,26.6,11.5,+15.1,+1.26,49295,Riyad Mahrez - 7,Ederson,
SF,Villarreal,12,5,3,4,20,16,+4,18,19.4,18.6,+0.9,+0.07,18610,Arnaut Danjuma - 6,Ger�nimo Rulli,
QF,Bayern Munich,10,7,2,1,31,7,+24,23,26.3,7.7,+18.6,+1.86,34000,Robert Lewandowski - 13,Manuel Neuer,
QF,Chelsea,10,7,1,2,21,10,+11,22,19.0,11.0,+8.0,+0.80,39076,Timo Werner - 4,Edouard Mendy,
QF,Benfica,10,3,4,3,14,17,-3,13,11.8,21.4,-9.7,-0.97,47128,Darwin N��ez - 6,Odisseas Vlachodimos,
QF,Atlético Madrid,10,3,3,4,9,10,-1,12,12.2,13.2,-1.1,-0.11,58158,Antoine Griezmann - 4,Jan Oblak,
R16,Ajax,8,6,1,1,22,8,+14,19,19.0,10.0,+8.9,+1.12,40181,S�bastien Haller - 11,Remko Pasveer,
R16,Juventus,8,5,1,2,11,10,+1,16,13.3,10.6,+2.7,+0.34,21968,Paulo Dybala - 3,Wojciech Szcz?sny,
R16,Paris S-G,8,4,2,2,15,11,+4,14,15.2,13.9,+1.3,+0.16,44911,Kylian Mbapp� - 6,Gianluigi Donnarumma,
R16,Inter,8,4,1,3,9,7,+2,13,12.8,7.8,+5.0,+0.62,41133,Edin D?eko - 3,Samir Handanovi?,
R16,Manchester Utd,8,3,3,2,12,10,+2,12,9.4,10.6,-1.2,-0.15,72893,Cristiano Ronaldo - 6,David de Gea,
R16,Lille,8,3,2,3,8,8,0,11,10.5,7.5,+2.9,+0.37,37824,Jonathan David Burak Y�lmaz - 3,Ivo Grbi?,
R16,RB Salzburg,8,3,2,3,10,14,-4,11,12.3,12.7,-0.5,-0.06,20812,Karim Adeyemi Noah Okafor - 3,Philipp K�hn,
R16,Sporting CP,8,3,1,4,14,17,-3,10,12.2,12.7,-0.5,-0.07,37672,Pedro Gon�alves - 4,Antonio Ad�n,
GR,Dortmund,6,3,0,3,10,11,-1,9,11.5,7.6,+3.8,+0.64,31607,Marco Reus Donyell Malen... - 3,Gregor Kobel,
GR,RB Leipzig,6,2,1,3,15,14,+1,7,13.4,11.0,+2.4,+0.40,21098,Christopher Nkunku - 7,P�ter Gul�csi,
GR,Sheriff Tiraspol,6,2,1,3,7,11,-4,7,4.4,12.2,-7.9,-1.32,5689,Adama Traor� S�bastien Thill - 2,Giorgos Athanasiadis,
GR,Barcelona,6,2,1,3,2,9,-7,7,6.2,9.4,-3.2,-0.53,45092,Gerard Piqu� Ansu Fati - 1,Marc-Andr� ter Stegen,
GR,Sevilla,6,1,3,2,5,5,0,6,7.2,7.8,-0.6,-0.09,25468,Ivan Rakiti? - 2,Yassine Bounou,
GR,Atalanta,6,1,3,2,12,13,-1,6,10.2,9.1,+1.1,+0.18,11556,Duv�n Zapata - 3,Juan Musso,
GR,Zenit,6,1,2,3,10,10,0,5,9.8,8.0,+1.9,+0.31,21135,Claudinho Sardar Azmoun - 2,Stanislav Kritsyuk,
GR,Young Boys,6,1,2,3,7,12,-5,5,7.4,10.3,-3.0,-0.50,29879,Jordan Pefok - 2,Guillaume Faivre David von Ballmoos,
GR,Wolfsburg,6,1,2,3,5,10,-5,5,4.8,11.1,-6.2,-1.04,11463,Lukas Nmecha Renato Steffen - 2,Koen Casteels,
GR,Porto,6,1,2,3,4,11,-7,5,8.0,8.8,-0.8,-0.13,31493,Luis D�az - 2,Diogo Costa,
GR,Milan,6,1,1,4,6,9,-3,4,5.8,10.2,-4.5,-0.74,43762,Rafael Le�o Junior Messias... - 1,Mike Maignan Ciprian T?t?ru?anu,
GR,Club Brugge,6,1,1,4,6,20,-14,4,6.1,19.5,-13.4,-2.23,25511,Hans Vanaken - 3,Simon Mignolet,
GR,Shakhtar,6,0,2,4,2,12,-10,2,6.8,10.1,-3.3,-0.55,22349,Fernando - 2,Anatolii Trubin,
GR,Dynamo Kyiv,6,0,1,5,1,11,-10,1,4.2,8.9,-4.8,-0.79,27256,Denys Harmash - 1,Heorhiy Bushchan,
GR,Malmo,6,0,1,5,1,14,-13,1,1.6,15.1,-13.5,-2.25,13634,S�ren Rieks - 1,Johan Dahlin,
GR,Besiktas,6,0,0,6,3,19,-16,0,6.2,19.7,-13.5,-2.26,19031,Francisco Montero Cyle Larin... - 1,Ersin Destano?lu,
