Clt,Joueur,Equipe,MJ,Titulaire,Min,90,Buts?,PDP,B+PD,B-P�nM,PénM,P�nT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts,PD,B+PD,B-P�nM,B+PD-P�nM,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs,-9999
1,Karim Benzema,es Real Madrid,12,12,1102,12.2,15,1,16,12,3,3,1,0,8.4,6.0,2.6,8.6,42,60,86,1.23,0.08,1.31,0.98,1.06,0.70,0.22,0.92,0.50,0.72,Matchs,70d74ece
2,Robert Lewandowski,de Bayern Munich,10,10,874,9.7,13,3,16,10,3,4,1,0,10.2,7.1,2.1,9.2,13,22,65,1.34,0.31,1.65,1.03,1.34,1.05,0.21,1.26,0.73,0.95,Matchs,8d78e732
3,Sébastien Haller,nl Ajax,8,7,667,7.4,11,1,12,10,1,1,1,0,9.4,8.6,1.2,9.8,6,16,43,1.48,0.13,1.62,1.35,1.48,1.27,0.16,1.42,1.16,1.32,Matchs,ba115a40
4,Mohamed Salah,eng Liverpool,13,12,1004,11.2,8,2,10,7,1,2,0,0,8.9,7.4,2.0,9.4,47,44,183,0.72,0.18,0.90,0.63,0.81,0.80,0.18,0.98,0.66,0.84,Matchs,e342ad68
5,Riyad Mahrez,eng Manchester City,12,11,983,10.9,7,2,9,5,2,2,1,0,6.8,5.2,1.7,6.9,45,42,137,0.64,0.18,0.82,0.46,0.64,0.62,0.15,0.78,0.48,0.63,Matchs,892d5bb1
6,Christopher Nkunku,de RB Leipzig,6,6,530,5.9,7,1,8,7,0,0,0,0,3.8,3.8,1.2,5.0,14,23,49,1.19,0.17,1.36,1.19,1.36,0.65,0.20,0.85,0.65,0.85,Matchs,7c56da38
7,Arnaut Danjuma,es Villarreal,11,10,903,10.0,6,2,8,5,1,1,0,0,4.9,4.3,1.2,5.6,26,10,62,0.60,0.20,0.80,0.50,0.70,0.49,0.12,0.61,0.43,0.55,Matchs,f08490a6
8,Kylian Mbappé,fr Paris S-G,8,8,671,7.5,6,4,10,6,0,1,1,0,5.6,4.8,1.7,6.5,53,22,73,0.80,0.54,1.34,0.80,1.34,0.75,0.23,0.97,0.64,0.87,Matchs,42fd9c7f
9,Darwin Nunez,pt Benfica,10,6,614,6.8,6,0,6,5,1,1,1,0,3.1,2.3,1.0,3.3,24,8,41,0.88,0.00,0.88,0.73,0.73,0.46,0.14,0.60,0.34,0.49,Matchs,4d77b365
10,Cristiano Ronaldo,eng Manchester Utd,7,7,610,6.8,6,0,6,6,0,0,1,0,2.9,2.9,0.5,3.4,17,19,56,0.89,0.00,0.89,0.89,0.89,0.43,0.07,0.50,0.43,0.50,Matchs,dea698d9
11,Leroy Sané,de Bayern Munich,10,9,795,8.8,6,6,12,6,0,0,0,0,4.3,4.3,2.9,7.2,23,32,102,0.68,0.68,1.36,0.68,1.36,0.49,0.33,0.82,0.49,0.82,Matchs,2b114be3
12,Roberto Firmino,eng Liverpool,7,2,325,3.6,5,0,5,5,0,0,0,0,1.8,1.8,0.3,2.1,9,18,31,1.38,0.00,1.38,1.38,1.38,0.50,0.08,0.57,0.50,0.57,Matchs,4c370d81
13,Sadio Mané,eng Liverpool,13,11,818,9.1,5,1,6,5,0,0,2,0,4.5,4.5,1.9,6.4,25,38,91,0.55,0.11,0.66,0.55,0.66,0.49,0.21,0.71,0.49,0.71,Matchs,c691bfe2
14,Lionel Messi,fr Paris S-G,7,7,630,7.0,5,0,5,3,2,3,1,0,4.9,2.5,2.1,4.6,45,58,28,0.71,0.00,0.71,0.43,0.43,0.70,0.29,0.99,0.36,0.66,Matchs,d70ce98e
15,Rodrygo,es Real Madrid,11,4,507,5.6,5,2,7,5,0,0,1,0,2.8,2.8,1.0,3.8,18,15,61,0.89,0.36,1.24,0.89,1.24,0.56,0.21,0.77,0.56,0.77,Matchs,8f5e92a6
16,Pedro Goncalves,pt Sporting CP,5,4,327,3.6,4,2,6,3,1,2,0,0,2.4,0.8,1.3,2.2,9,11,22,1.10,0.55,1.65,0.83,1.38,0.66,0.37,1.03,0.23,0.60,Matchs,c275947b
17,Antoine Griezmann,es Atlético Madrid,9,6,517,5.7,4,3,7,4,0,0,0,1,3.9,3.9,1.2,5.2,10,21,29,0.70,0.52,1.22,0.70,1.22,0.68,0.22,0.90,0.68,0.90,Matchs,df69b544
18,Gabriel Jesus,eng Manchester City,8,3,355,3.9,4,1,5,4,0,0,3,0,1.9,1.9,1.1,3.0,16,11,30,1.01,0.25,1.27,1.01,1.27,0.48,0.29,0.77,0.48,0.77,Matchs,b66315ae
19,Vinicius Junior,es Real Madrid,13,13,1193,13.3,4,6,10,4,0,0,1,0,4.1,4.1,3.2,7.3,73,33,156,0.30,0.45,0.75,0.30,0.75,0.31,0.24,0.55,0.31,0.55,Matchs,7111d552
20,Thomas Muller,de Bayern Munich,10,9,776,8.6,4,3,7,4,0,0,0,0,1.9,1.9,1.8,3.7,10,40,88,0.46,0.35,0.81,0.46,0.81,0.22,0.21,0.43,0.22,0.43,Matchs,3c6089ab
21,Timo Werner,eng Chelsea,5,3,246,2.7,4,2,6,4,0,0,0,0,2.2,2.2,1.3,3.5,8,9,24,1.46,0.73,2.20,1.46,2.20,0.79,0.49,1.28,0.79,1.28,Matchs,49fe9070
22,Karim Adeyemi,at RB Salzburg,8,8,602,6.7,3,1,4,1,2,3,2,0,4.6,2.2,0.8,3.0,27,7,64,0.45,0.15,0.60,0.15,0.30,0.68,0.12,0.80,0.33,0.44,Matchs,501055d8
23,Steven Berghuis,nl Ajax,8,8,622,6.9,3,1,4,3,0,0,1,0,1.4,1.4,2.4,3.9,10,40,33,0.43,0.14,0.58,0.43,0.58,0.21,0.35,0.56,0.21,0.56,Matchs,713c144a
24,Jonathan David,fr Lille,8,8,674,7.5,3,0,3,2,1,1,0,0,2.9,2.2,0.4,2.6,7,22,47,0.40,0.00,0.40,0.27,0.27,0.39,0.06,0.45,0.29,0.34,Matchs,ce50fd99
25,Paulo Dybala,it Juventus,5,3,254,2.8,3,1,4,1,2,2,0,0,2.4,0.8,1.0,1.8,8,18,28,1.06,0.35,1.42,0.35,0.71,0.85,0.35,1.19,0.29,0.64,Matchs,e0921a4f
26,Edin D�eko,it Inter,7,7,537,6.0,3,1,4,3,0,0,0,0,4.1,4.1,0.8,4.9,9,24,51,0.50,0.17,0.67,0.50,0.67,0.69,0.13,0.81,0.69,0.81,Matchs,3bb7f478
27,Phil Foden,eng Manchester City,11,8,658,7.3,3,2,5,3,0,0,1,0,3.6,3.6,2.2,5.8,25,20,79,0.41,0.27,0.68,0.41,0.68,0.52,0.31,0.83,0.52,0.83,Matchs,ed1e53f3
